tax_id,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14,Kingdom,Phylum,Class,Order,Family,Genus,Species
FPLS01039234.11.1486,0,5.60616678346181,3.12989045383412,1.89933523266857,1.15740740740741,6.6815144766147,3.48027842227378,0.813008130081301,0.783699059561129,1.05485232067511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,metagenome,
EU119246.1.1522,1.36425648021828,1.40154169586545,0,0.949667616334283,7.52314814814815,0,6.96055684454757,1.6260162601626,10.1880877742947,6.32911392405064,3.72093023255814,0,6.44783118405627,3.75234521575985,0,3.82409177820268,4.21052631578948,3.49406009783368,2.55754475703325,10.9546165884194,1.34861766689144,0.767459708365311,1.21802679658953,0,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium sp. HBUM 171018
EU777239.1.1348,0.682128240109141,2.8030833917309,0,1.89933523266857,0,0,0,0,0,1.05485232067511,0,0,0,5.62851782363978,0,0,0,0,0,6.25978090766824,0,0.767459708365311,2.43605359317905,1.37931034482759,0.659195781147001,0.800640512409928,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,uncultured bacterium
AB934771.1.1341,4.77489768076399,5.60616678346181,4.69483568075118,2.37416904083571,1.15740740740741,2.2271714922049,1.16009280742459,1.6260162601626,0,1.05485232067511,0.930232558139535,1.45560407569141,7.03399765533412,0,8.21355236139631,7.01083492670491,0,2.79524807826695,0,1.56494522691706,3.37154416722859,6.13967766692249,0,18.6206896551724,3.95517468688201,19.2153722978383,12.4333925399645,9.04392764857882,13.1406044678055,1.26582278481013,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,uncultured bacterium,
EU842486.1.1511,0,5.60616678346181,1.56494522691706,0.474833808167142,1.15740740740741,1.11358574610245,0,0.813008130081301,0,0,0,0,0,0,0.684462696783026,0,0,2.09643605870021,5.1150895140665,0,0.674308833445718,0.767459708365311,0,0.689655172413793,0.659195781147001,4.00320256204964,0,2.58397932816538,2.62812089356111,1.26582278481013,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae UCG-008,uncultured bacterium
LC028876.1.1506,2.04638472032742,1.40154169586545,4.69483568075118,1.89933523266857,0,2.2271714922049,2.32018561484919,0,0,3.16455696202532,3.72093023255814,1.45560407569141,3.51699882766706,0,4.79123887748118,0.637348629700446,0,0.698812019566737,0.639386189258312,0,2.02292650033715,5.37221795855718,0,6.89655172413793,4.61437046802901,7.20576461168936,0,1.29198966408269,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-005,uncultured bacterium
LC028747.1.1522,3.4106412005457,11.2123335669236,13.302034428795,17.0940170940171,14.4675925925926,7.79510022271715,4.64037122969838,4.06504065040651,3.13479623824452,8.43881856540085,4.65116279069768,13.1004366812227,6.44783118405627,7.50469043151971,13.6892539356605,13.3843212237094,2.10526315789474,16.0726764500349,2.55754475703325,4.69483568075118,4.72016183412003,26.0936300844206,3.65408038976858,22.7586206896552,23.731048121292,25.6204963971177,28.4191829484903,10.3359173126615,13.1406044678055,15.1898734177215,3.07692307692308,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-013,uncultured bacterium
EU787448.1.1432,0,0,0,0,3.47222222222222,0,0,4.06504065040651,0.783699059561129,0,0.930232558139535,0,0,0,0.684462696783026,5.09878903760357,0,0,0,0,0,0,0,0,0.659195781147001,0,0,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea koreensis
JX079199.1.1513,0,0.700770847932726,0,0.474833808167142,0.578703703703704,0,0,0,2.35109717868339,0,0,2.91120815138283,0,0,0.684462696783026,0,0,0,0.639386189258312,1.56494522691706,0,0.767459708365311,0,0,1.977587343441,0,0,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,uncultured Nocardioides sp.
AY212613.1.1510,0,0,0,2.37416904083571,0,0,0,0,0,0,0,0,2.34466588511137,0,0,0.637348629700446,0,0,0,3.12989045383412,0.674308833445718,0.767459708365311,0,0,0,0,0,0,0,1.26582278481013,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,uncultured bacterium
