level,taxa,p.value,T0,T1,T2
genus,Luteolibacter,1.22144922020902e-08,0.000127889376585533,7.91420079132931e-05,0.00351807147533927
genus,Chthoniobacter,1.53472096063208e-07,0.000189768447128666,0.000165590383718375,0.00218442468990863
genus,Dorea,3.11040900804221e-07,0.00155020851067676,0.00408298378512075,0.00104778207320361
genus,[Eubacterium] coprostanoligenes group,7.6416619945664e-07,0.0169982725495938,0.0409576432949313,0.0134475972838247
genus,SH-PL14,1.1247366624299e-06,2.01827678821569e-05,0,0.000346508204877622
genus,Acidibacter,1.16605154953147e-06,0.000108075359538483,9.40931998461175e-06,0.00072959529148527
genus,Brevundimonas,1.34288995080334e-06,0.000271901973245692,0.000638892672180985,0.00202934625527334
genus,Flavobacterium,1.62841159189483e-06,0.00283660052262775,0.00228058989173351,0.0105845317735567
genus,Cellvibrio,1.7438406894042e-06,5.99545210322831e-05,0.000121352166183771,0.000737095131546578
genus,CL500-29 marine group,2.77630668646593e-06,6.18604279913763e-05,8.02595065082202e-05,0.000444877523255661
genus,Actinoplanes,3.64413485118492e-06,0.000330628509167013,0.000443812905654056,0.00177762471770707
genus,Streptosporangium,5.36487826373274e-06,0.000107791443280482,7.260225558131e-05,0.000752660601807357
genus,Solirubrobacter,5.42742986900787e-06,0.000132948919279511,8.11793928933266e-05,0.00116657853681307
genus,Nocardioides,6.84957134166804e-06,0.00379419804802365,0.00199334939329126,0.0088817333991408
genus,Ideonella,7.75103552786753e-06,3.53059615734997e-06,2.16613708247621e-05,0.000201016771738265
genus,Pantoea,1.11033088737745e-05,1.64199409028408e-05,2.10135443558518e-05,0.000352335291114853
genus,Paludisphaera,1.27673997448027e-05,1.01704229334181e-05,2.88041993097299e-05,0.000177002908414002
genus,Defluviicoccus,1.30943622135577e-05,7.86608256453138e-05,7.8163948553925e-05,0.000787874695344445
genus,Micromonospora,1.33506193032108e-05,6.91327314175721e-05,5.08814210168775e-05,0.000447150904594846
genus,Skermanella,1.66916841452073e-05,0.000365964760385665,0.000378572977738084,0.00160778228308552
genus,Phycicoccus,1.73501835427397e-05,0.000226331607316341,0.000133205954179391,0.000866574803486527
genus,Rikenellaceae RC9 gut group,1.8367892407276e-05,0.0118110162057103,0.0300682375558173,0.0111631119500027
genus,Duganella,2.0060089880066e-05,1.93564467987849e-05,6.78882587920599e-05,0.000396261916096217
genus,Pedobacter,2.04310684885805e-05,0.000891382269143436,0.00105041435964519,0.00474145159481441
genus,Nakamurella,2.17398519719624e-05,0.000358259493802122,0.000287170164634212,0.00193990046682743
genus,Variovorax,3.14274627352891e-05,4.15787338574723e-06,1.14405335028956e-05,0.000224487962868485
genus,uncultured planctomycete,3.75618360896091e-05,9.66519591101219e-06,1.11673966184472e-05,0.000348491396999782
genus,Bosea,5.49231696788019e-05,0.000134523829346336,8.59636770451085e-05,0.000469285699700062
genus,Adhaeribacter,5.5950023596763e-05,1.75610910877367e-05,3.84723583436724e-05,0.000251099316827793
genus,Nannocystis,6.01124833081252e-05,1.87285561876257e-05,3.91986518136228e-05,0.000277977496990536
genus,Pir4 lineage,7.85935512351714e-05,2.23234586219336e-05,0,0.000330811589247814
genus,Methylophilus,8.69981740599454e-05,1.93830790712517e-05,9.69478865128289e-06,0.000425403085682882
genus,Aureimonas,8.71229777567184e-05,0.000213391538632705,0.000240572214257349,0.000812040103549153
genus,Prosthecobacter,8.90854651388866e-05,0,0,8.02959312082842e-05
genus,Microbacterium,9.27295936943305e-05,0.000727684170407118,0.000839229142029884,0.00187402035319141
genus,Enhydrobacter,0.000104848787890978,0.000241453546303839,0.000116821431445119,0.0012095935103871
genus,uncultured soil bacterium,0.000111693698294831,4.23940023704472e-05,8.40476655912288e-06,0.000219001619832666
genus,Ruminococcaceae UCG-005,0.000124892073653399,0.060781880847532,0.123446636058243,0.0323300961577766
genus,Flavisolibacter,0.000144227396915588,8.57103721260923e-05,3.27815774224738e-05,0.000496520080328424
genus,Janthinobacterium,0.000160825396730831,4.58841185988755e-05,0.000168427499385286,0.000599368092423865
genus,Afipia,0.000184849027055228,0.000106760399795544,0.000145158452965287,0.000535015154372109
genus,Kribbella,0.000188040816442496,3.46756790771906e-05,1.82535386959273e-05,0.000287174870416356
genus,Singulisphaera,0.000212417342649864,1.39412229455245e-05,4.4248766565632e-06,0.000244342295577911
genus,Phascolarctobacterium,0.000220135040881409,0.000846576152963459,0.00274847590398628,0.00112602203549158
genus,Mycobacterium,0.000222426467421876,0.00218247186784481,0.0015668000549627,0.00646819818041216
genus,Methylobacterium,0.000233006465133527,0.000785271040802927,0.00128685753275582,0.00575644006124442
genus,Terrimicrobium,0.000297890602528531,5.14351547195553e-05,7.76830450883102e-05,0.000563176079282616
genus,Ilumatobacter,0.000311586441630415,0.000778142547671363,0.000424551811913236,0.00251698562095433
genus,Bradyrhizobium,0.000337943118204822,9.9445114619521e-06,1.02184355371298e-05,0.000236278426261876
genus,Tardiphaga,0.000341666708942955,1.20834423911634e-05,2.39815279064266e-05,0.000191730053899081
genus,Cellulomonas,0.000360018345717132,0.00060139242692215,0.00089155330207324,0.00193920968262057
genus,Thermomonas,0.000389343400100945,5.65609038950663e-05,5.81715643322033e-05,0.000372580171633997
